GRAND PRIX,DATE,PTS
Brazil,25 Mar 1984,9
South Africa,07 Apr 1984,15
Belgium,29 Apr 1984,0
San Marino,06 May 1984,9
France,20 May 1984,9
Monaco,03 Jun 1984,4.5
Canada,17 Jun 1984,10
Detroit,24 Jun 1984,3
Dallas,08 Jul 1984,0
Great Britain,22 Jul 1984,9
Germany,05 Aug 1984,15
Austria,19 Aug 1984,9
Netherlands,26 Aug 1984,15
Italy,09 Sep 1984,9
Europe,07 Oct 1984,12
Portugal,21 Oct 1984,15
