POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Sebastian Vettel,Red Bull Racing Renault,44,1:26:44.893,25
2,2,Mark Webber,Red Bull Racing Renault,44,+3.741s,18
3,4,Jenson Button,McLaren Mercedes,44,+9.669s,15
4,5,Fernando Alonso,Ferrari,44,+13.022s,12
5,7,Michael Schumacher,Mercedes,44,+47.464s,10
6,8,Nico Rosberg,Mercedes,44,+48.674s,8
7,14,Adrian Sutil,Force India Mercedes,44,+59.713s,6
8,6,Felipe Massa,Ferrari,44,+66.076s,4
9,10,Vitaly Petrov,Renault,44,+71.917s,2
10,12,Pastor Maldonado,Williams Cosworth,44,+77.615s,1
11,15,Paul di Resta,Force India Mercedes,44,+83.994s,0
12,16,Kamui Kobayashi,Sauber Ferrari,44,+91.976s,0
13,9,Bruno Senna,Renault,44,+92.985s,0
14,21,Jarno Trulli,Lotus Renault,43,+1 lap,0
15,20,Heikki Kovalainen,Lotus Renault,43,+1 lap,0
16,11,Rubens Barrichello,Williams Cosworth,43,+1 lap,0
17,25,Jerome d'Ambrosio,Virgin Cosworth,43,+1 lap,0
18,24,Timo Glock,Virgin Cosworth,43,+1 lap,0
19,23,Vitantonio Liuzzi,HRT Cosworth,43,+1 lap,0
NC,17,Sergio Perez,Sauber Ferrari,27,DNF,0
NC,22,Daniel Ricciardo,HRT Cosworth,13,DNF,0
NC,3,Lewis Hamilton,McLaren Mercedes,12,DNF,0
NC,18,Sebastien Buemi,STR Ferrari,6,DNF,0
NC,19,Jaime Alguersuari,STR Ferrari,0,DNF,0
