GRAND PRIX,DRIVER,CAR,TIME
Argentina,James Hunt,McLaren Ford,1:51.060
Brazil,James Hunt,McLaren Ford,2:34.550
South Africa,John Watson,Brabham Alfa Romeo,1:17.630
USA West,Niki Lauda,Ferrari,1:22.753
Spain,Jacques Laffite,Ligier Matra,1:20.810
Monaco,Jody Scheckter,Wolf Ford,1:31.070
Belgium,Gunnar Nilsson,Lotus Ford,1:27.540
Sweden,Mario Andretti,Lotus Ford,1:27.607
France,Mario Andretti,Lotus Ford,1:13.750
Great Britain,James Hunt,McLaren Ford,1:19.600
Germany,Niki Lauda,Ferrari,1:55.990
Austria,John Watson,Brabham Alfa Romeo,1:40.960
Netherlands,Niki Lauda,Ferrari,1:19.990
Italy,Mario Andretti,Lotus Ford,1:39.100
USA East,Ronnie Peterson,Tyrrell Ford,1:51.854
Canada,Mario Andretti,Lotus Ford,1:13.299
Japan,Jody Scheckter,Wolf Ford,1:14.300
