GRAND PRIX,DRIVER,CAR,TIME
Brazil,Nelson Piquet,Brabham BMW,1:39.829
USA West,Niki Lauda,McLaren TAG,1:28.330
France,Alain Prost,Renault,1:42.695
San Marino,Riccardo Patrese,Brabham BMW,1:34.437
Monaco,Nelson Piquet,Brabham BMW,1:27.283
Belgium,Andrea de Cesaris,Alfa Romeo,2:07.493
Detroit,John Watson,McLaren TAG,1:47.668
Canada,Patrick Tambay,Ferrari,1:30.851
Great Britain,Alain Prost,Renault,1:14.212
Germany,Rene Arnoux,Ferrari,1:53.938
Austria,Alain Prost,Renault,1:33.961
Netherlands,Rene Arnoux,Ferrari,1:19.863
Italy,Nelson Piquet,Brabham BMW,1:34.431
Europe,Nigel Mansell,Lotus Ford,1:14.342
South Africa,Nelson Piquet,Brabham BMW,1:09.948
