GRAND PRIX,DRIVER,CAR,TIME
South Africa,Nigel Mansell,Williams Renault,1:17.578
Mexico,Gerhard Berger,McLaren Honda,1:17.711
Brazil,Riccardo Patrese,Williams Renault,1:19.490
Spain,Nigel Mansell,Williams Renault,1:42.503
San Marino,Riccardo Patrese,Williams Renault,1:26.100
Monaco,Nigel Mansell,Williams Renault,1:21.598
Canada,Gerhard Berger,McLaren Honda,1:22.325
France,Nigel Mansell,Williams Renault,1:17.070
Great Britain,Nigel Mansell,Williams Renault,1:22.539
Germany,Riccardo Patrese,Williams Renault,1:41.591
Hungary,Nigel Mansell,Williams Renault,1:18.308
Belgium,Michael Schumacher,Benetton Ford,1:53.791
Italy,Nigel Mansell,Williams Renault,1:26.119
Portugal,Ayrton Senna,McLaren Honda,1:16.272
Japan,Nigel Mansell,Williams Renault,1:40.646
Australia,Michael Schumacher,Benetton Ford,1:16.078
