POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,60,1:24:42.700,10
2,6,Kimi Räikkönen,McLaren Mercedes,60,+2.130s,8
3,2,Rubens Barrichello,Ferrari,60,+3.114s,6
4,9,Jenson Button,BAR Honda,60,+10.683s,5
5,3,Juan Pablo Montoya,Williams BMW,60,+12.173s,4
6,11,Giancarlo Fisichella,Sauber Petronas,60,+12.888s,3
7,5,David Coulthard,McLaren Mercedes,60,+19.668s,2
8,14,Mark Webber,Jaguar Cosworth,60,+23.701s,1
9,12,Felipe Massa,Sauber Petronas,60,+24.023s,0
10,8,Fernando Alonso,Renault,60,+24.835s,0
11,10,Takuma Sato,BAR Honda,60,+33.736s,0
12,4,Marc Gene,Williams BMW,60,+34.303s,0
13,16,Cristiano da Matta,Toyota,59,+1 lap,0
14,15,Christian Klien,Jaguar Cosworth,59,+1 lap,0
15,18,Nick Heidfeld,Jordan Ford,59,+1 lap,0
16,20,Gianmaria Bruni,Minardi Cosworth,56,+4 laps,0
NC,19,Giorgio Pantano,Jordan Ford,47,DNF,0
NC,7,Jarno Trulli,Renault,39,DNF,0
NC,21,Zsolt Baumgartner,Minardi Cosworth,29,DNF,0
NC,17,Olivier Panis,Toyota,16,DNF,0
