POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,70,1:36:12.473,26
2,33,Max Verstappen,Red Bull Racing Honda,70,+8.702s,18
3,77,Valtteri Bottas,Mercedes,70,+9.452s,15
4,18,Lance Stroll,Racing Point BWT Mercedes,70,+57.579s,12
5,23,Alexander Albon,Red Bull Racing Honda,70,+78.316s,10
6,5,Sebastian Vettel,Ferrari,69,+1 lap,8
7,11,Sergio Perez,Racing Point BWT Mercedes,69,+1 lap,6
8,3,Daniel Ricciardo,Renault,69,+1 lap,4
9,55,Carlos Sainz,McLaren Renault,69,+1 lap,2
10,20,Kevin Magnussen,Haas Ferrari,69,+1 lap,1
11,16,Charles Leclerc,Ferrari,69,+1 lap,0
12,26,Daniil Kvyat,AlphaTauri Honda,69,+1 lap,0
13,4,Lando Norris,McLaren Renault,69,+1 lap,0
14,31,Esteban Ocon,Renault,69,+1 lap,0
15,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,69,+1 lap,0
16,8,Romain Grosjean,Haas Ferrari,69,+1 lap,0
17,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,69,+1 lap,0
18,63,George Russell,Williams Mercedes,69,+1 lap,0
19,6,Nicholas Latifi,Williams Mercedes,65,+5 laps,0
NC,10,Pierre Gasly,AlphaTauri Honda,15,DNF,0
