POS,DRIVER,NATIONALITY,CAR,PTS
1,Jim Clark,GBR,Lotus Climax,54
2,Graham Hill,GBR,BRM,29
2,Richie Ginther,USA,BRM,29
4,John Surtees,GBR,Ferrari,22
5,Dan Gurney,USA,Brabham Climax,19
6,Bruce McLaren,NZL,Cooper Climax,17
7,Jack Brabham,AUS,Brabham Climax,14
8,Tony Maggs,RSA,Cooper Climax,9
9,Innes Ireland,GBR,BRP BRM,6
9,Lorenzo Bandini,ITA,Ferrari,6
9,Jo Bonnier,SWE,Cooper Climax,6
12,Gerhard Mitter,GER,Porsche,3
12,Jim Hall,USA,Lotus BRM,3
14,Carel Godin de Beaufort,NED,Porsche,2
15,Trevor Taylor,GBR,Lotus Climax,1
15,Ludovico Scarfiotti,ITA,Ferrari,1
15,Jo Siffert,SUI,Lotus BRM,1
18,Willy Mairesse,BEL,Ferrari,0
18,Maurice Trintignant,FRA,BRM,0
18,Tony Settember,USA,Scirocco BRM,0
18,Lucien Bianchi,BEL,Lola Climax,0
18,Phil Hill,USA,ATS,0
18,Giancarlo Baghetti,ITA,ATS,0
18,Chris Amon,NZL,Lotus BRM,0
18,Masten Gregory,USA,null,0
18,Bob Anderson,GBR,Lola Climax,0
18,Ian Raby,GBR,Gilby BRM,0
18,John Campbell-Jones,GBR,Lola Climax,0
18,Ian Burgess,GBR,Scirocco BRM,0
18,Mike Hailwood,GBR,null,0
18,Mario de Araujo Cabral,POR,Cooper Climax,0
18,Bernard Collomb,FRA,Lotus Climax,0
18,Mike Spence,GBR,Lotus Climax,0
18,Peter Broeker,CAN,Stebro Ford,0
18,Rodger Ward,USA,Lotus BRM,0
18,Pedro Rodriguez,MEX,Lotus Climax,0
18,Hap Sharp,USA,Lotus BRM,0
18,Moises Solana,MEX,BRM,0
18,Doug Serrurier,RSA,LDS Alfa Romeo,0
18,Trevor Blokdyk,RSA,Cooper Maserati,0
18,Brausch Niemann,RSA,Lotus Ford,0
18,John Love,RHO,Cooper Climax,0
18,Ernie Pieterse,RSA,Lotus Climax,0
18,Peter de Klerk,RSA,Alfa Romeo,0
18,Sam Tingle,RHO,LDS Alfa Romeo,0
18,David Prophet,GBR,Brabham Ford,0
