GRAND PRIX,DATE,CAR,RACE POSITION,PTS
France,30 Jun 1963,BRM,10,0
Great Britain,20 Jul 1963,BRM,5,2
Germany,04 Aug 1963,BRM,DNF,0
Italy,08 Sep 1963,Ferrari,DNF,0
United States,06 Oct 1963,Ferrari,5,2
Mexico,27 Oct 1963,Ferrari,DNF,0
South Africa,28 Dec 1963,Ferrari,5,2
