GRAND PRIX,DRIVER,CAR,TIME
Argentina,Clay Regazzoni,Ferrari,1:52.100
Brazil,Clay Regazzoni,Ferrari,2:36.050
South Africa,Carlos Reutemann,Brabham Ford,1:18.160
Spain,Niki Lauda,Ferrari,1:20.830
Belgium,Denny Hulme,McLaren Ford,1:11.310
Monaco,Ronnie Peterson,Lotus Ford,1:27.900
Sweden,Patrick Depailler,Tyrrell Ford,1:27.262
Netherlands,Ronnie Peterson,Lotus Ford,1:21.440
France,Jody Scheckter,Tyrrell Ford,1:00.000
Great Britain,Niki Lauda,Ferrari,1:21.100
Germany,Jody Scheckter,Tyrrell Ford,7:11.100
Austria,Clay Regazzoni,Ferrari,1:37.220
Italy,Carlos Pace,Brabham Ford,1:34.200
Canada,Niki Lauda,Ferrari,1:13.659
United States,Carlos Pace,Brabham Ford,1:40.608
