GRAND PRIX,DATE,PTS
Australia,29 Mar 2009,0
Malaysia,05 Apr 2009,1.5
China,19 Apr 2009,18
Bahrain,26 Apr 2009,8
Spain,10 May 2009,11
Monaco,24 May 2009,4
Turkey,07 Jun 2009,14
Great Britain,21 Jun 2009,18
Germany,12 Jul 2009,18
Hungary,26 Jul 2009,6
Europe,23 Aug 2009,0
Belgium,30 Aug 2009,6
Italy,13 Sep 2009,1
Singapore,27 Sep 2009,5
Japan,04 Oct 2009,10
Brazil,18 Oct 2009,15
Abu Dhabi,01 Nov 2009,18
