GRAND PRIX,DRIVER,CAR,TIME
South Africa,Alain Prost,Renault,1:08.278
Brazil,Alain Prost,Renault,1:37.016
USA West,Niki Lauda,McLaren Ford,1:30.831
San Marino,Didier Pironi,Ferrari,1:35.036
Belgium,John Watson,McLaren Ford,1:20.214
Monaco,Riccardo Patrese,Brabham Ford,1:26.354
Detroit,Alain Prost,Renault,1:50.438
Canada,Didier Pironi,Ferrari,1:28.323
Netherlands,Derek Warwick,Toleman Hart,1:19.780
Great Britain,Brian Henton,Tyrrell Ford,1:13.028
France,Riccardo Patrese,Brabham Ford,1:40.075
Germany,Nelson Piquet,Brabham Ford,1:54.035
Austria,Nelson Piquet,Brabham Ford,1:33.699
Switzerland,Alain Prost,Renault,1:07.477
Italy,Rene Arnoux,Renault,1:33.619
Las Vegas,Michele Alboreto,Tyrrell Ford,1:19.639
