GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,25 Mar 2018,Renault,7,6
Bahrain,08 Apr 2018,Renault,6,8
China,15 Apr 2018,Renault,6,8
Azerbaijan,29 Apr 2018,Renault,DNF,0
Spain,13 May 2018,Renault,DNF,0
Monaco,27 May 2018,Renault,8,4
Canada,10 Jun 2018,Renault,7,6
France,24 Jun 2018,Renault,9,2
Austria,01 Jul 2018,Renault,DNF,0
Great Britain,08 Jul 2018,Renault,6,8
Germany,22 Jul 2018,Renault,5,10
Hungary,29 Jul 2018,Renault,12,0
Belgium,26 Aug 2018,Renault,DNF,0
Italy,02 Sep 2018,Renault,13,0
Singapore,16 Sep 2018,Renault,10,1
Russia,30 Sep 2018,Renault,12,0
Japan,07 Oct 2018,Renault,DNF,0
United States,21 Oct 2018,Renault,6,8
Mexico,28 Oct 2018,Renault,6,8
Brazil,11 Nov 2018,Renault,DNF,0
Abu Dhabi,25 Nov 2018,Renault,DNF,0
