GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,29 Mar 2009,Williams Toyota,6,3
Malaysia,05 Apr 2009,Williams Toyota,8,0.5
China,19 Apr 2009,Williams Toyota,15,0
Bahrain,26 Apr 2009,Williams Toyota,9,0
Spain,10 May 2009,Williams Toyota,8,1
Monaco,24 May 2009,Williams Toyota,6,3
Turkey,07 Jun 2009,Williams Toyota,5,4
Great Britain,21 Jun 2009,Williams Toyota,5,4
Germany,12 Jul 2009,Williams Toyota,4,5
Hungary,26 Jul 2009,Williams Toyota,4,5
Europe,23 Aug 2009,Williams Toyota,5,4
Belgium,30 Aug 2009,Williams Toyota,8,1
Italy,13 Sep 2009,Williams Toyota,16,0
Singapore,27 Sep 2009,Williams Toyota,11,0
Japan,04 Oct 2009,Williams Toyota,5,4
Brazil,18 Oct 2009,Williams Toyota,DNF,0
Abu Dhabi,01 Nov 2009,Williams Toyota,9,0
