GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,12 Mar 2000,Williams BMW,DNF,0
Brazil,26 Mar 2000,Williams BMW,6,1
San Marino,09 Apr 2000,Williams BMW,DNF,0
Great Britain,23 Apr 2000,Williams BMW,5,2
Spain,07 May 2000,Williams BMW,DNF,0
Europe,21 May 2000,Williams BMW,DNF,0
Monaco,04 Jun 2000,Williams BMW,DNF,0
Canada,18 Jun 2000,Williams BMW,11,0
France,02 Jul 2000,Williams BMW,8,0
Austria,16 Jul 2000,Williams BMW,5,2
Germany,30 Jul 2000,Williams BMW,4,3
Hungary,13 Aug 2000,Williams BMW,9,0
Belgium,27 Aug 2000,Williams BMW,5,2
Italy,10 Sep 2000,Williams BMW,DNF,0
United States,24 Sep 2000,Williams BMW,DNF,0
Japan,08 Oct 2000,Williams BMW,5,2
Malaysia,22 Oct 2000,Williams BMW,DNF,0
