GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,12 Mar 2000,Jaguar Cosworth,DNF,0
Brazil,26 Mar 2000,Jaguar Cosworth,DNF,0
San Marino,09 Apr 2000,Jaguar Cosworth,7,0
Great Britain,23 Apr 2000,Jaguar Cosworth,13,0
Spain,07 May 2000,Jaguar Cosworth,11,0
Europe,21 May 2000,Jaguar Cosworth,DNF,0
Monaco,04 Jun 2000,Jaguar Cosworth,4,3
Canada,18 Jun 2000,Jaguar Cosworth,13,0
France,02 Jul 2000,Jaguar Cosworth,13,0
Germany,30 Jul 2000,Jaguar Cosworth,10,0
Hungary,13 Aug 2000,Jaguar Cosworth,8,0
Belgium,27 Aug 2000,Jaguar Cosworth,10,0
Italy,10 Sep 2000,Jaguar Cosworth,DNF,0
United States,24 Sep 2000,Jaguar Cosworth,7,0
Japan,08 Oct 2000,Jaguar Cosworth,8,0
Malaysia,22 Oct 2000,Jaguar Cosworth,6,1
