POS,DRIVER,NATIONALITY,CAR,PTS
1,Michael Schumacher,GER,Ferrari,108
2,Mika Hakkinen,FIN,McLaren Mercedes,89
3,David Coulthard,GBR,McLaren Mercedes,73
4,Rubens Barrichello,BRA,Ferrari,62
5,Ralf Schumacher,GER,Williams BMW,24
6,Giancarlo Fisichella,ITA,Benetton Playlife,18
7,Jacques Villeneuve,CAN,BAR Honda,17
8,Jenson Button,GBR,Williams BMW,12
9,Heinz-Harald Frentzen,GER,Jordan Mugen Honda,11
10,Jarno Trulli,ITA,Jordan Mugen Honda,6
11,Mika Salo,FIN,Sauber Petronas,6
12,Jos Verstappen,NED,Arrows Supertec,5
13,Eddie Irvine,GBR,Jaguar Cosworth,4
14,Ricardo Zonta,BRA,BAR Honda,3
15,Alexander Wurz,AUT,Benetton Playlife,2
16,Pedro de la Rosa,ESP,Arrows Supertec,2
17,Pedro Diniz,BRA,Sauber Petronas,0
18,Johnny Herbert,GBR,Jaguar Cosworth,0
19,Marc Gene,ESP,Minardi Fondmetal,0
20,Gaston Mazzacane,ARG,Minardi Fondmetal,0
21,Nick Heidfeld,GER,Prost Peugeot,0
22,Jean Alesi,FRA,Prost Peugeot,0
23,Luciano Burti,BRA,Jaguar Cosworth,0
