GRAND PRIX,DRIVER,CAR,TIME
Australia,Heinz-Harald Frentzen,Williams Renault,1:30.585
Brazil,Jacques Villeneuve,Williams Renault,1:18.397
Argentina,Gerhard Berger,Benetton Renault,1:27.981
San Marino,Heinz-Harald Frentzen,Williams Renault,1:25.531
Monaco,Michael Schumacher,Ferrari,1:53.315
Spain,Giancarlo Fisichella,Jordan Peugeot,1:22.242
Canada,David Coulthard,McLaren Mercedes,1:19.635
France,Michael Schumacher,Ferrari,1:17.910
Great Britain,Michael Schumacher,Ferrari,1:24.475
Germany,Gerhard Berger,Benetton Renault,1:45.747
Hungary,Heinz-Harald Frentzen,Williams Renault,1:18.372
Belgium,Jacques Villeneuve,Williams Renault,1:52.692
Italy,Mika Hakkinen,McLaren Mercedes,1:24.808
Austria,Jacques Villeneuve,Williams Renault,1:11.814
Luxembourg,Heinz-Harald Frentzen,Williams Renault,1:18.805
Japan,Heinz-Harald Frentzen,Williams Renault,1:38.942
Europe,Heinz-Harald Frentzen,Williams Renault,1:23.135
