GRAND PRIX,DRIVER,CAR,TIME
Argentina,Alan Jones,Williams Ford,1:50.450
Brazil,Rene Arnoux,Renault,2:27.310
South Africa,Rene Arnoux,Renault,1:13.150
USA West,Nelson Piquet,Brabham Ford,1:19.830
Belgium,Jacques Laffite,Ligier Ford,1:20.880
Monaco,Carlos Reutemann,Williams Ford,1:27.418
France,Alan Jones,Williams Ford,1:41.450
Great Britain,Didier Pironi,Ligier Ford,1:12.368
Germany,Alan Jones,Williams Ford,1:48.490
Austria,Rene Arnoux,Renault,1:32.530
Netherlands,Rene Arnoux,Renault,1:19.350
Italy,Alan Jones,Williams Ford,1:36.089
Canada,Didier Pironi,Ligier Ford,1:28.769
USA East,Alan Jones,Williams Ford,1:34.068
