GRAND PRIX,DRIVER,CAR,TIME
Argentina,Emerson Fittipaldi,Lotus Ford,1:11.220
Brazil,Emerson Fittipaldi,Lotus Ford,2:35.000
South Africa,Emerson Fittipaldi,Lotus Ford,1:17.100
Spain,Ronnie Peterson,Lotus Ford,1:23.800
Belgium,Francois Cevert,Tyrrell Ford,1:25.420
Monaco,Emerson Fittipaldi,Lotus Ford,1:28.100
Sweden,Denny Hulme,McLaren Ford,1:26.146
France,Denny Hulme,McLaren Ford,1:50.990
Great Britain,James Hunt,March Ford,1:18.600
Netherlands,Ronnie Peterson,Lotus Ford,1:20.310
Germany,Carlos Pace,Surtees Ford,7:11.400
Austria,Carlos Pace,Surtees Ford,1:37.290
Italy,Jackie Stewart,Tyrrell Ford,1:35.300
Canada,Emerson Fittipaldi,Lotus Ford,1:15.496
United States,James Hunt,March Ford,1:41.652
