POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,26,Juan Manuel Fangio,Maserati,36,2:44:42.400,9
2,8,Maurice Trintignant,Ferrari,36,+24.200s,6
3,22,Stirling Moss,Maserati,35,+1 lap,4
4,10,Mike Hawthorn,Ferrari,,SHC,1.5
4,10,Jose Froilan Gonzalez,Ferrari,35,+1 lap,1.5
5,18,Andre Pilette,Gordini,35,+1 lap,2
6,20,Prince Bira,Maserati,35,+1 lap,0
7,30,Sergio Mantovani,Maserati,34,+2 laps,0
NC,16,Paul Frere,Gordini,14,DNF,0
NC,4,Nino Farina,Ferrari,14,DNF,0
NC,12,Jean Behra,Gordini,12,DNF,0
NC,28,Onofre Marimon,Maserati,3,DNF,0
NC,2,Jacques Swaters,Ferrari,1,DNF,0
NC,6,Jose Froilan Gonzalez,Ferrari,1,DNF,0
NC,24,Roberto Mieres,Maserati,0,DNF,0
