GRAND PRIX,DRIVER,CAR,TIME
South Africa,Mario Andretti,Ferrari,1:20.300
Spain,Jacky Ickx,Ferrari,1:25.100
Monaco,Jackie Stewart,Tyrrell Ford,1:22.200
Netherlands,Jacky Ickx,Ferrari,1:34.950
France,Jackie Stewart,Tyrrell Ford,1:54.090
Great Britain,Jackie Stewart,Tyrrell Ford,1:19.900
Germany,Francois Cevert,Tyrrell Ford,7:20.100
Austria,Jo Siffert,BRM,1:38.470
Italy,Henri Pescarolo,March Ford,1:23.800
Canada,Denny Hulme,McLaren Ford,1:43.500
United States,Jacky Ickx,Ferrari,1:43.474
