GRAND PRIX,DRIVER,CAR,TIME
South Africa,Alain Prost,Williams Renault,1:19.492
Brazil,Michael Schumacher,Benetton Ford,1:20.024
Europe,Ayrton Senna,McLaren Ford,1:18.029
San Marino,Alain Prost,Williams Renault,1:26.128
Spain,Michael Schumacher,Benetton Ford,1:20.989
Monaco,Alain Prost,Williams Renault,1:23.604
Canada,Michael Schumacher,Benetton Ford,1:21.500
France,Michael Schumacher,Benetton Ford,1:19.256
Great Britain,Damon Hill,Williams Renault,1:22.515
Germany,Michael Schumacher,Benetton Ford,1:41.859
Hungary,Alain Prost,Williams Renault,1:19.633
Belgium,Alain Prost,Williams Renault,1:51.095
Italy,Damon Hill,Williams Renault,1:23.575
Portugal,Damon Hill,Williams Renault,1:14.859
Japan,Alain Prost,Williams Renault,1:41.176
Australia,Damon Hill,Williams Renault,1:15.381
