GRAND PRIX,DATE,PTS
Australia,20 Mar 2016,43
Bahrain,03 Apr 2016,40
China,17 Apr 2016,31
Russia,01 May 2016,43
Spain,15 May 2016,0
Monaco,29 May 2016,31
Canada,12 Jun 2016,35
Europe,19 Jun 2016,35
Austria,03 Jul 2016,37
Great Britain,10 Jul 2016,40
Hungary,24 Jul 2016,43
Germany,31 Jul 2016,37
Belgium,28 Aug 2016,40
Italy,04 Sep 2016,43
Singapore,18 Sep 2016,40
Malaysia,02 Oct 2016,15
Japan,09 Oct 2016,40
United States,23 Oct 2016,43
Mexico,30 Oct 2016,43
Brazil,13 Nov 2016,43
Abu Dhabi,27 Nov 2016,43
