GRAND PRIX,DATE,PTS
Australia,20 Mar 2016,12
Bahrain,03 Apr 2016,18
China,17 Apr 2016,27
Russia,01 May 2016,0
Spain,15 May 2016,37
Monaco,29 May 2016,18
Canada,12 Jun 2016,18
Europe,19 Jun 2016,10
Austria,03 Jul 2016,28
Great Britain,10 Jul 2016,30
Hungary,24 Jul 2016,25
Germany,31 Jul 2016,33
Belgium,28 Aug 2016,18
Italy,04 Sep 2016,16
Singapore,18 Sep 2016,26
Malaysia,02 Oct 2016,43
Japan,09 Oct 2016,26
United States,23 Oct 2016,15
Mexico,30 Oct 2016,27
Brazil,13 Nov 2016,19
Abu Dhabi,27 Nov 2016,22
