Grand Prix,Date,Winner,Car,Laps,Time
Argentina,22 Jan 1956,Luigi Musso,Ferrari,null,
Argentina,22 Jan 1956,Juan Manuel Fangio,Ferrari,98,3:00:03.700
Monaco,13 May 1956,Stirling Moss,Maserati,100,3:00:32.900
Indianapolis 500,30 May 1956,Pat Flaherty,Watson Offenhauser,200,3:53:28.840
Belgium,03 Jun 1956,Peter Collins,Ferrari,36,2:40:00.300
France,01 Jul 1956,Peter Collins,Ferrari,61,2:34:23.400
Great Britain,14 Jul 1956,Juan Manuel Fangio,Ferrari,101,2:59:47.000
Germany,05 Aug 1956,Juan Manuel Fangio,Ferrari,22,3:38:43.700
Italy,02 Sep 1956,Stirling Moss,Maserati,50,2:23:41.300
