GRAND PRIX,DRIVER,CAR,TIME
Brazil,Gerhard Berger,Ferrari,1:32.943
San Marino,Alain Prost,McLaren Honda,1:29.685
Monaco,Ayrton Senna,McLaren Honda,1:26.321
Mexico,Alain Prost,McLaren Honda,1:18.608
Canada,Ayrton Senna,McLaren Honda,1:24.973
Detroit,Alain Prost,McLaren Honda,1:44.836
France,Alain Prost,McLaren Honda,1:11.737
Great Britain,Nigel Mansell,Williams Judd,1:23.308
Germany,Alessandro Nannini,Benetton Ford,2:03.032
Hungary,Alain Prost,McLaren Honda,1:30.639
Belgium,Gerhard Berger,Ferrari,2:00.772
Italy,Michele Alboreto,Ferrari,1:29.070
Portugal,Gerhard Berger,Ferrari,1:21.961
Spain,Alain Prost,McLaren Honda,1:27.845
Japan,Ayrton Senna,McLaren Honda,1:46.326
Australia,Alain Prost,McLaren Honda,1:21.216
