GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,23 Jan 1977,Lotus Ford,5,2
South Africa,05 Mar 1977,Lotus Ford,12,0
USA West,03 Apr 1977,Lotus Ford,8,0
Spain,08 May 1977,Lotus Ford,5,2
Monaco,22 May 1977,Lotus Ford,DNF,0
Belgium,05 Jun 1977,Lotus Ford,1,9
Sweden,19 Jun 1977,Lotus Ford,DNF,0
France,03 Jul 1977,Lotus Ford,4,3
Great Britain,16 Jul 1977,Lotus Ford,3,4
Germany,31 Jul 1977,Lotus Ford,DNF,0
Austria,14 Aug 1977,Lotus Ford,DNF,0
Netherlands,28 Aug 1977,Lotus Ford,DNF,0
Italy,11 Sep 1977,Lotus Ford,DNF,0
USA East,02 Oct 1977,Lotus Ford,DNF,0
Canada,09 Oct 1977,Lotus Ford,DNF,0
Japan,23 Oct 1977,Lotus Ford,DNF,0
