GRAND PRIX,DATE,CAR,RACE POSITION,PTS
USA West,03 Apr 1977,Shadow Ford,DNF,0
Spain,08 May 1977,Shadow Ford,DNF,0
Monaco,22 May 1977,Shadow Ford,6,1
Belgium,05 Jun 1977,Shadow Ford,5,2
Sweden,19 Jun 1977,Shadow Ford,17,0
France,03 Jul 1977,Shadow Ford,DNF,0
Great Britain,16 Jul 1977,Shadow Ford,7,0
Germany,31 Jul 1977,Shadow Ford,DNF,0
Austria,14 Aug 1977,Shadow Ford,1,9
Netherlands,28 Aug 1977,Shadow Ford,DNF,0
Italy,11 Sep 1977,Shadow Ford,3,4
USA East,02 Oct 1977,Shadow Ford,DNF,0
Canada,09 Oct 1977,Shadow Ford,4,3
Japan,23 Oct 1977,Shadow Ford,4,3
