GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,27 Mar 2011,Sauber Ferrari,DSQ,0
Malaysia,10 Apr 2011,Sauber Ferrari,7,6
China,17 Apr 2011,Sauber Ferrari,10,1
Turkey,08 May 2011,Sauber Ferrari,10,1
Spain,22 May 2011,Sauber Ferrari,10,1
Monaco,29 May 2011,Sauber Ferrari,5,10
Canada,12 Jun 2011,Sauber Ferrari,7,6
Europe,26 Jun 2011,Sauber Ferrari,16,0
Great Britain,10 Jul 2011,Sauber Ferrari,DNF,0
Germany,24 Jul 2011,Sauber Ferrari,9,2
Hungary,31 Jul 2011,Sauber Ferrari,11,0
Belgium,28 Aug 2011,Sauber Ferrari,12,0
Italy,11 Sep 2011,Sauber Ferrari,DNF,0
Singapore,25 Sep 2011,Sauber Ferrari,14,0
Japan,09 Oct 2011,Sauber Ferrari,13,0
South Korea,16 Oct 2011,Sauber Ferrari,15,0
India,30 Oct 2011,Sauber Ferrari,DNF,0
Abu Dhabi,13 Nov 2011,Sauber Ferrari,10,1
Brazil,27 Nov 2011,Sauber Ferrari,9,2
