GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,27 Mar 2011,Force India Mercedes,9,2
Malaysia,10 Apr 2011,Force India Mercedes,11,0
China,17 Apr 2011,Force India Mercedes,15,0
Turkey,08 May 2011,Force India Mercedes,13,0
Spain,22 May 2011,Force India Mercedes,13,0
Monaco,29 May 2011,Force India Mercedes,7,6
Canada,12 Jun 2011,Force India Mercedes,DNF,0
Europe,26 Jun 2011,Force India Mercedes,9,2
Great Britain,10 Jul 2011,Force India Mercedes,11,0
Germany,24 Jul 2011,Force India Mercedes,6,8
Hungary,31 Jul 2011,Force India Mercedes,14,0
Belgium,28 Aug 2011,Force India Mercedes,7,6
Italy,11 Sep 2011,Force India Mercedes,DNF,0
Singapore,25 Sep 2011,Force India Mercedes,8,4
Japan,09 Oct 2011,Force India Mercedes,11,0
South Korea,16 Oct 2011,Force India Mercedes,11,0
India,30 Oct 2011,Force India Mercedes,9,2
Abu Dhabi,13 Nov 2011,Force India Mercedes,8,4
Brazil,27 Nov 2011,Force India Mercedes,6,8
