POS,DRIVER,NATIONALITY,CAR,PTS
1,Sebastian Vettel,GER,Red Bull Racing Renault,392
2,Jenson Button,GBR,McLaren Mercedes,270
3,Mark Webber,AUS,Red Bull Racing Renault,258
4,Fernando Alonso,ESP,Ferrari,257
5,Lewis Hamilton,GBR,McLaren Mercedes,227
6,Felipe Massa,BRA,Ferrari,118
7,Nico Rosberg,GER,Mercedes,89
8,Michael Schumacher,GER,Mercedes,76
9,Adrian Sutil,GER,Force India Mercedes,42
10,Vitaly Petrov,RUS,Renault,37
11,Nick Heidfeld,GER,Renault,34
12,Kamui Kobayashi,JPN,Sauber Ferrari,30
13,Paul di Resta,GBR,Force India Mercedes,27
14,Jaime Alguersuari,ESP,STR Ferrari,26
15,Sebastien Buemi,SUI,STR Ferrari,15
16,Sergio Perez,MEX,Sauber Ferrari,14
17,Rubens Barrichello,BRA,Williams Cosworth,4
18,Bruno Senna,BRA,Renault,2
19,Pastor Maldonado,VEN,Williams Cosworth,1
20,Pedro de la Rosa,ESP,Sauber Ferrari,0
21,Jarno Trulli,ITA,Lotus Renault,0
22,Heikki Kovalainen,FIN,Lotus Renault,0
23,Vitantonio Liuzzi,ITA,HRT Cosworth,0
24,Jerome d'Ambrosio,BEL,Virgin Cosworth,0
25,Timo Glock,GER,Virgin Cosworth,0
26,Narain Karthikeyan,IND,HRT Cosworth,0
27,Daniel Ricciardo,AUS,HRT Cosworth,0
28,Karun Chandhok,IND,Lotus Renault,0
