GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,27 Mar 2011,Ferrari,4,12
Malaysia,10 Apr 2011,Ferrari,6,8
China,17 Apr 2011,Ferrari,7,6
Turkey,08 May 2011,Ferrari,3,15
Spain,22 May 2011,Ferrari,5,10
Monaco,29 May 2011,Ferrari,2,18
Canada,12 Jun 2011,Ferrari,DNF,0
Europe,26 Jun 2011,Ferrari,2,18
Great Britain,10 Jul 2011,Ferrari,1,25
Germany,24 Jul 2011,Ferrari,2,18
Hungary,31 Jul 2011,Ferrari,3,15
Belgium,28 Aug 2011,Ferrari,4,12
Italy,11 Sep 2011,Ferrari,3,15
Singapore,25 Sep 2011,Ferrari,4,12
Japan,09 Oct 2011,Ferrari,2,18
South Korea,16 Oct 2011,Ferrari,5,10
India,30 Oct 2011,Ferrari,3,15
Abu Dhabi,13 Nov 2011,Ferrari,2,18
Brazil,27 Nov 2011,Ferrari,4,12
