GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,27 Mar 2011,Virgin Cosworth,DNC,0
Malaysia,10 Apr 2011,Virgin Cosworth,16,0
China,17 Apr 2011,Virgin Cosworth,21,0
Turkey,08 May 2011,Virgin Cosworth,DNS,0
Spain,22 May 2011,Virgin Cosworth,19,0
Monaco,29 May 2011,Virgin Cosworth,DNF,0
Canada,12 Jun 2011,Virgin Cosworth,15,0
Europe,26 Jun 2011,Virgin Cosworth,21,0
Great Britain,10 Jul 2011,Virgin Cosworth,16,0
Germany,24 Jul 2011,Virgin Cosworth,17,0
Hungary,31 Jul 2011,Virgin Cosworth,17,0
Belgium,28 Aug 2011,Virgin Cosworth,18,0
Italy,11 Sep 2011,Virgin Cosworth,15,0
Singapore,25 Sep 2011,Virgin Cosworth,DNF,0
Japan,09 Oct 2011,Virgin Cosworth,20,0
South Korea,16 Oct 2011,Virgin Cosworth,18,0
India,30 Oct 2011,Virgin Cosworth,DNF,0
Abu Dhabi,13 Nov 2011,Virgin Cosworth,19,0
Brazil,27 Nov 2011,Virgin Cosworth,DNF,0
