GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 1997,McLaren Mercedes,3,4
Brazil,30 Mar 1997,McLaren Mercedes,4,3
Argentina,13 Apr 1997,McLaren Mercedes,5,2
San Marino,27 Apr 1997,McLaren Mercedes,6,1
Monaco,11 May 1997,McLaren Mercedes,DNF,0
Spain,25 May 1997,McLaren Mercedes,7,0
Canada,15 Jun 1997,McLaren Mercedes,DNF,0
France,29 Jun 1997,McLaren Mercedes,DNF,0
Great Britain,13 Jul 1997,McLaren Mercedes,DNF,0
Germany,27 Jul 1997,McLaren Mercedes,3,4
Hungary,10 Aug 1997,McLaren Mercedes,DNF,0
Italy,07 Sep 1997,McLaren Mercedes,9,0
Austria,21 Sep 1997,McLaren Mercedes,DNF,0
Luxembourg,28 Sep 1997,McLaren Mercedes,DNF,0
Japan,12 Oct 1997,McLaren Mercedes,4,3
Europe,26 Oct 1997,McLaren Mercedes,1,10
