POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,8,Fernando Alonso,Ferrari,55,2:48:20.810,25
2,2,Lewis Hamilton,McLaren Mercedes,55,+14.999s,18
3,7,Felipe Massa,Ferrari,55,+30.868s,15
4,3,Michael Schumacher,Mercedes,55,+39.688s,12
5,11,Robert Kubica,Renault,55,+47.734s,10
6,15,Vitantonio Liuzzi,Force India Mercedes,55,+53.571s,8
7,9,Rubens Barrichello,Williams Cosworth,55,+69.257s,6
8,23,Kamui Kobayashi,Sauber Ferrari,55,+77.889s,4
9,22,Nick Heidfeld,Sauber Ferrari,55,+80.107s,2
10,10,Nico Hulkenberg,Williams Cosworth,55,+80.851s,1
11,17,Jaime Alguersuari,STR Ferrari,55,+84.146s,0
12,1,Jenson Button,McLaren Mercedes,55,+89.939s,0
13,19,Heikki Kovalainen,Lotus Cosworth,54,+1 lap,0
14,21,Bruno Senna,HRT Cosworth,53,+2 laps,0
15,20,Sakon Yamamoto,HRT Cosworth,53,+2 laps,0
NC,14,Adrian Sutil,Force India Mercedes,46,DNF,0
NC,5,Sebastian Vettel,RBR Renault,45,DNF,0
NC,12,Vitaly Petrov,Renault,39,DNF,0
NC,24,Timo Glock,Virgin Cosworth,31,DNF,0
NC,16,Sebastien Buemi,STR Ferrari,30,DNF,0
NC,25,Lucas di Grassi,Virgin Cosworth,25,DNF,0
NC,18,Jarno Trulli,Lotus Cosworth,25,DNF,0
NC,6,Mark Webber,RBR Renault,18,DNF,0
NC,4,Nico Rosberg,Mercedes,18,DNF,0
