GRAND PRIX,DATE,PTS
San Marino,27 Apr 1986,0
Monaco,11 May 1986,0
Belgium,25 May 1986,0
Canada,15 Jun 1986,0
Detroit,22 Jun 1986,0
France,06 Jul 1986,0
Great Britain,13 Jul 1986,0
Germany,27 Jul 1986,0
Hungary,10 Aug 1986,0
Austria,17 Aug 1986,5
Italy,07 Sep 1986,1
Portugal,21 Sep 1986,0
Mexico,12 Oct 1986,0
Australia,26 Oct 1986,0
