GRAND PRIX,DRIVER,CAR,TIME
Argentina,James Hunt,Hesketh Ford,1:50.910
Brazil,Jean-Pierre Jarier,Shadow Matra,2:34.160
South Africa,Carlos Pace,Brabham Ford,1:17.200
Spain,Mario Andretti,Parnelli Ford,1:25.100
Monaco,Patrick Depailler,Tyrrell Ford,1:28.670
Belgium,Clay Regazzoni,Ferrari,1:26.760
Sweden,Niki Lauda,Ferrari,1:28.267
Netherlands,Niki Lauda,Ferrari,1:21.540
France,Jochen Mass,McLaren Ford,1:50.600
Great Britain,Clay Regazzoni,Ferrari,1:20.900
Germany,Clay Regazzoni,Ferrari,7:06.400
Austria,Vittorio Brambilla,March Ford,1:53.900
Italy,Clay Regazzoni,Ferrari,1:33.100
United States,Emerson Fittipaldi,McLaren Ford,1:43.374
