GRAND PRIX,DRIVER,CAR,TIME
Australia,Michael Schumacher,Ferrari,1:32.112
Brazil,Mika Hakkinen,McLaren Mercedes,1:18.448
San Marino,Michael Schumacher,Ferrari,1:28.547
Monaco,Mika Hakkinen,McLaren Mercedes,1:22.259
Spain,Michael Schumacher,Ferrari,1:24.982
Canada,Eddie Irvine,Ferrari,1:20.382
France,David Coulthard,McLaren Mercedes,1:19.227
Great Britain,Mika Hakkinen,McLaren Mercedes,1:28.309
Austria,Mika Hakkinen,McLaren Mercedes,1:12.107
Germany,David Coulthard,McLaren Mercedes,1:45.270
Hungary,David Coulthard,McLaren Mercedes,1:20.699
Belgium,Mika Hakkinen,McLaren Mercedes,1:53.955
Italy,Ralf Schumacher,Williams Supertec,1:25.579
Europe,Mika Hakkinen,McLaren Mercedes,1:21.282
Malaysia,Heinz-Harald Frentzen,Jordan Mugen Honda,1:40.631
Japan,Michael Schumacher,Ferrari,1:41.319
