GRAND PRIX,DRIVER,CAR,TIME
South Africa,John Surtees,McLaren Ford,1:20.800
Spain,Jack Brabham,Brabham Ford,1:24.300
Monaco,Jochen Rindt,Lotus Ford,1:23.200
Belgium,Chris Amon,March Ford,3:27.400
Netherlands,Jacky Ickx,Ferrari,1:19.230
France,Jack Brabham,Brabham Ford,3:00.750
Great Britain,Jack Brabham,Brabham Ford,1:25.900
Germany,Jacky Ickx,Ferrari,2:00.500
Austria,Jacky Ickx,Ferrari,1:40.400
Italy,Clay Regazzoni,Ferrari,1:25.200
Canada,Clay Regazzoni,Ferrari,1:32.200
United States,Jacky Ickx,Ferrari,1:02.740
Mexico,Jacky Ickx,Ferrari,1:43.110
