GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 2003,McLaren Mercedes,1,10
Malaysia,23 Mar 2003,McLaren Mercedes,DNF,0
Brazil,06 Apr 2003,McLaren Mercedes,4,5
San Marino,20 Apr 2003,McLaren Mercedes,5,4
Spain,04 May 2003,McLaren Mercedes,DNF,0
Austria,18 May 2003,McLaren Mercedes,5,4
Monaco,01 Jun 2003,McLaren Mercedes,7,2
Canada,15 Jun 2003,McLaren Mercedes,DNF,0
Europe,29 Jun 2003,McLaren Mercedes,DNF,0
France,06 Jul 2003,McLaren Mercedes,5,4
Great Britain,20 Jul 2003,McLaren Mercedes,5,4
Germany,03 Aug 2003,McLaren Mercedes,2,8
Hungary,24 Aug 2003,McLaren Mercedes,5,4
Italy,14 Sep 2003,McLaren Mercedes,DNF,0
United States,28 Sep 2003,McLaren Mercedes,DNF,0
Japan,12 Oct 2003,McLaren Mercedes,3,6
