POS,DRIVER,NATIONALITY,CAR,PTS
1,Michael Schumacher,GER,Ferrari,148
2,Rubens Barrichello,BRA,Ferrari,114
3,Jenson Button,GBR,BAR Honda,85
4,Fernando Alonso,ESP,Renault,59
5,Juan Pablo Montoya,COL,Williams BMW,58
6,Jarno Trulli,ITA,Toyota,46
7,Kimi Räikkönen,FIN,McLaren Mercedes,45
8,Takuma Sato,JPN,BAR Honda,34
9,Ralf Schumacher,GER,Williams BMW,24
10,David Coulthard,GBR,McLaren Mercedes,24
11,Giancarlo Fisichella,ITA,Sauber Petronas,22
12,Felipe Massa,BRA,Sauber Petronas,12
13,Mark Webber,AUS,Jaguar Cosworth,7
14,Olivier Panis,FRA,Toyota,6
15,Antonio Pizzonia,BRA,Williams BMW,6
16,Christian Klien,AUT,Jaguar Cosworth,3
17,Cristiano da Matta,BRA,Toyota,3
18,Nick Heidfeld,GER,Jordan Ford,3
19,Timo Glock,GER,Jordan Ford,2
20,Zsolt Baumgartner,HUN,Minardi Cosworth,1
21,Jacques Villeneuve,CAN,Renault,0
22,Ricardo Zonta,BRA,Toyota,0
23,Marc Gene,ESP,Williams BMW,0
24,Giorgio Pantano,ITA,Jordan Ford,0
25,Gianmaria Bruni,ITA,Minardi Cosworth,0
