GRAND PRIX,DRIVER,CAR,TIME
Australia,Jacques Villeneuve,Williams Renault,1:33.421
Brazil,Damon Hill,Williams Renault,1:21.547
Argentina,Jean Alesi,Benetton Renault,1:29.413
Europe,Damon Hill,Williams Renault,1:21.363
San Marino,Damon Hill,Williams Renault,1:28.931
Monaco,Jean Alesi,Benetton Renault,1:25.205
Spain,Michael Schumacher,Ferrari,1:45.517
Canada,Jacques Villeneuve,Williams Renault,1:21.916
France,Jacques Villeneuve,Williams Renault,1:18.610
Great Britain,Jacques Villeneuve,Williams Renault,1:29.288
Germany,Damon Hill,Williams Renault,1:46.504
Hungary,Damon Hill,Williams Renault,1:20.093
Belgium,Gerhard Berger,Benetton Renault,1:53.067
Italy,Michael Schumacher,Ferrari,1:26.110
Portugal,Jacques Villeneuve,Williams Renault,1:22.873
Japan,Jacques Villeneuve,Williams Renault,1:44.043
