POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Fernando Alonso,Renault,56,1:39:53.618,10
2,9,Kimi Räikkönen,McLaren Mercedes,56,+4.015s,8
3,17,Ralf Schumacher,Toyota,56,+25.376s,6
4,6,Giancarlo Fisichella,Renault,56,+26.114s,5
5,15,Christian Klien,RBR Cosworth,56,+31.839s,4
6,12,Felipe Massa,Sauber Petronas,56,+36.400s,3
7,7,Mark Webber,Williams BMW,56,+36.842s,2
8,3,Jenson Button,BAR Honda,56,+41.249s,1
9,14,David Coulthard,RBR Cosworth,56,+44.247s,0
10,11,Jacques Villeneuve,Sauber Petronas,56,+59.977s,0
11,18,Tiago Monteiro,Jordan Toyota,56,+84.648s,0
12,2,Rubens Barrichello,Ferrari,56,+92.812s,0
13,8,Antonio Pizzonia,Williams BMW,55,DNF,0
14,20,Robert Doornbos,Minardi Cosworth,55,+1 lap,0
15,16,Jarno Trulli,Toyota,55,+1 lap,0
16,21,Christijan Albers,Minardi Cosworth,51,+5 laps,0
NC,4,Takuma Sato,BAR Honda,34,DNF,0
NC,19,Narain Karthikeyan,Jordan Toyota,28,DNF,0
NC,10,Juan Pablo Montoya,McLaren Mercedes,24,DNF,0
NC,1,Michael Schumacher,Ferrari,22,DNF,0
