POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,73,1:29:43.181,10
2,2,Rubens Barrichello,Ferrari,73,+1.522s,8
3,18,Tiago Monteiro,Jordan Toyota,72,+1 lap,6
4,19,Narain Karthikeyan,Jordan Toyota,72,+1 lap,5
5,21,Christijan Albers,Minardi Cosworth,71,+2 laps,4
6,20,Patrick Friesacher,Minardi Cosworth,71,+2 laps,3
NC,16,Jarno Trulli,Toyota,0,DNF,0
NC,9,Kimi Räikkönen,McLaren Mercedes,0,DNF,0
NC,3,Jenson Button,BAR Honda,0,DNF,0
NC,6,Giancarlo Fisichella,Renault,0,DNF,0
NC,5,Fernando Alonso,Renault,0,DNF,0
NC,4,Takuma Sato,BAR Honda,0,DNF,0
NC,7,Mark Webber,Williams BMW,0,DNF,0
NC,12,Felipe Massa,Sauber Petronas,0,DNF,0
NC,10,Juan Pablo Montoya,McLaren Mercedes,0,DNF,0
NC,11,Jacques Villeneuve,Sauber Petronas,0,DNF,0
NC,17,Ricardo Zonta,Toyota,0,DNF,0
NC,15,Christian Klien,RBR Cosworth,0,DNF,0
NC,8,Nick Heidfeld,Williams BMW,0,DNF,0
NC,14,David Coulthard,RBR Cosworth,0,DNF,0
