POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,10,Juan Pablo Montoya,McLaren Mercedes,53,1:14:28.659,10
2,5,Fernando Alonso,Renault,53,+2.479s,8
3,6,Giancarlo Fisichella,Renault,53,+17.975s,6
4,9,Kimi Räikkönen,McLaren Mercedes,53,+22.775s,5
5,16,Jarno Trulli,Toyota,53,+33.786s,4
6,17,Ralf Schumacher,Toyota,53,+43.925s,3
7,8,Antonio Pizzonia,Williams BMW,53,+44.643s,2
8,3,Jenson Button,BAR Honda,53,+63.635s,1
9,12,Felipe Massa,Sauber Petronas,53,+75.413s,0
10,1,Michael Schumacher,Ferrari,53,+96.070s,0
11,11,Jacques Villeneuve,Sauber Petronas,52,+1 lap,0
12,2,Rubens Barrichello,Ferrari,52,+1 lap,0
13,15,Christian Klien,RBR Cosworth,52,+1 lap,0
14,7,Mark Webber,Williams BMW,52,+1 lap,0
15,14,David Coulthard,RBR Cosworth,52,+1 lap,0
16,4,Takuma Sato,BAR Honda,52,+1 lap,0
17,18,Tiago Monteiro,Jordan Toyota,51,+2 laps,0
18,20,Robert Doornbos,Minardi Cosworth,51,+2 laps,0
19,21,Christijan Albers,Minardi Cosworth,51,+2 laps,0
20,19,Narain Karthikeyan,Jordan Toyota,50,+3 laps,0
