POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,9,Kimi Räikkönen,McLaren Mercedes,58,1:24:34.454,10
2,5,Fernando Alonso,Renault,58,+18.609s,8
3,10,Juan Pablo Montoya,McLaren Mercedes,58,+19.635s,6
4,6,Giancarlo Fisichella,Renault,58,+37.973s,5
5,3,Jenson Button,BAR Honda,58,+39.304s,4
6,16,Jarno Trulli,Toyota,58,+55.420s,3
7,14,David Coulthard,RBR Cosworth,58,+69.296s,2
8,15,Christian Klien,RBR Cosworth,58,+71.622s,1
9,4,Takuma Sato,BAR Honda,58,+109.987s,0
10,2,Rubens Barrichello,Ferrari,57,+1 lap,0
11,11,Jacques Villeneuve,Sauber Petronas,57,+1 lap,0
12,17,Ralf Schumacher,Toyota,57,+1 lap,0
13,20,Robert Doornbos,Minardi Cosworth,55,+3 laps,0
14,19,Narain Karthikeyan,Jordan Toyota,55,+3 laps,0
15,18,Tiago Monteiro,Jordan Toyota,55,+3 laps,0
NC,21,Christijan Albers,Minardi Cosworth,48,DNF,0
NC,1,Michael Schumacher,Ferrari,32,DNF,0
NC,8,Nick Heidfeld,Williams BMW,29,DNF,0
NC,12,Felipe Massa,Sauber Petronas,28,DNF,0
NC,7,Mark Webber,Williams BMW,20,DNF,0
