GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,23 Mar 1986,Benetton BMW,6,1
Spain,13 Apr 1986,Benetton BMW,6,1
San Marino,27 Apr 1986,Benetton BMW,3,4
Monaco,11 May 1986,Benetton BMW,DNF,0
Belgium,25 May 1986,Benetton BMW,10,0
Canada,15 Jun 1986,Benetton BMW,DNF,0
Detroit,22 Jun 1986,Benetton BMW,DNF,0
France,06 Jul 1986,Benetton BMW,DNF,0
Great Britain,13 Jul 1986,Benetton BMW,DNF,0
Germany,27 Jul 1986,Benetton BMW,10,0
Hungary,10 Aug 1986,Benetton BMW,DNF,0
Austria,17 Aug 1986,Benetton BMW,7,0
Italy,07 Sep 1986,Benetton BMW,DNF,2
Portugal,21 Sep 1986,Benetton BMW,DNF,0
Mexico,12 Oct 1986,Benetton BMW,1,9
Australia,26 Oct 1986,Benetton BMW,DNF,0
