GRAND PRIX,DRIVER,CAR,TIME
USA West,Alan Jones,Williams Ford,1:20.901
Brazil,Marc Surer,Ensign Ford,1:54.302
Argentina,Nelson Piquet,Brabham Ford,1:45.287
San Marino,Gilles Villeneuve,Ferrari,1:48.064
Belgium,Carlos Reutemann,Williams Ford,1:23.300
Monaco,Alan Jones,Williams Ford,1:27.470
Spain,Alan Jones,Williams Ford,1:17.818
France,Alain Prost,Renault,1:09.140
Great Britain,Rene Arnoux,Renault,1:15.067
Germany,Alan Jones,Williams Ford,1:52.420
Austria,Jacques Laffite,Ligier Matra,1:37.620
Netherlands,Alan Jones,Williams Ford,1:21.830
Italy,Carlos Reutemann,Williams Ford,1:37.528
Canada,John Watson,McLaren Ford,1:49.475
Las Vegas,Didier Pironi,Ferrari,1:20.156
