GRAND PRIX,DRIVER,CAR,TIME
Australia,Jenson Button,McLaren Mercedes,1:29.187
Malaysia,Kimi Räikkönen,Lotus Renault,1:40.722
China,Kamui Kobayashi,Sauber Ferrari,1:39.960
Bahrain,Sebastian Vettel,Red Bull Racing Renault,1:36.379
Spain,Romain Grosjean,Lotus Renault,1:26.250
Monaco,Sergio Perez,Sauber Ferrari,1:17.296
Canada,Sebastian Vettel,Red Bull Racing Renault,1:15.752
Europe,Nico Rosberg,Mercedes,1:42.163
Great Britain,Kimi Räikkönen,Lotus Renault,1:34.661
Germany,Michael Schumacher,Mercedes,1:18.725
Hungary,Sebastian Vettel,Red Bull Racing Renault,1:24.136
Belgium,Bruno Senna,Williams Renault,1:52.822
Italy,Nico Rosberg,Mercedes,1:27.239
Singapore,Nico Hulkenberg,Force India Mercedes,1:51.033
Japan,Sebastian Vettel,Red Bull Racing Renault,1:35.774
South Korea,Mark Webber,Red Bull Racing Renault,1:42.037
India,Jenson Button,McLaren Mercedes,1:28.203
Abu Dhabi,Sebastian Vettel,Red Bull Racing Renault,1:43.964
United States,Sebastian Vettel,Red Bull Racing Renault,1:39.347
Brazil,Lewis Hamilton,McLaren Mercedes,1:18.069
