GRAND PRIX,DRIVER,CAR,TIME
Bahrain,Nico Rosberg,Williams Cosworth,1:32.408
Malaysia,Fernando Alonso,Renault,1:34.803
Australia,Kimi Räikkönen,McLaren Mercedes,1:26.045
San Marino,Fernando Alonso,Renault,1:24.569
Europe,Michael Schumacher,Ferrari,1:32.099
Spain,Felipe Massa,Ferrari,1:16.648
Monaco,Michael Schumacher,Ferrari,1:15.143
Great Britain,Fernando Alonso,Renault,1:21.599
Canada,Kimi Räikkönen,McLaren Mercedes,1:15.841
United States,Michael Schumacher,Ferrari,1:12.719
France,Michael Schumacher,Ferrari,1:17.111
Germany,Michael Schumacher,Ferrari,1:16.357
Hungary,Felipe Massa,Ferrari,1:23.516
Turkey,Michael Schumacher,Ferrari,1:28.005
Italy,Kimi Räikkönen,McLaren Mercedes,1:22.559
China,Fernando Alonso,Renault,1:37.586
Japan,Fernando Alonso,Renault,1:32.676
Brazil,Michael Schumacher,Ferrari,1:12.162
