GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Germany,24 Jul 2005,Minardi Cosworth,18,0
Hungary,31 Jul 2005,Minardi Cosworth,DNF,0
Turkey,21 Aug 2005,Minardi Cosworth,13,0
Italy,04 Sep 2005,Minardi Cosworth,18,0
Belgium,11 Sep 2005,Minardi Cosworth,13,0
Brazil,25 Sep 2005,Minardi Cosworth,DNF,0
Japan,09 Oct 2005,Minardi Cosworth,14,0
China,16 Oct 2005,Minardi Cosworth,DNF,0
