GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,06 Mar 2005,Ferrari,DNF,0
Malaysia,20 Mar 2005,Ferrari,7,2
Bahrain,03 Apr 2005,Ferrari,DNF,0
San Marino,24 Apr 2005,Ferrari,2,8
Spain,08 May 2005,Ferrari,DNF,0
Monaco,22 May 2005,Ferrari,7,2
Europe,29 May 2005,Ferrari,5,4
Canada,12 Jun 2005,Ferrari,2,8
United States,19 Jun 2005,Ferrari,1,10
France,03 Jul 2005,Ferrari,3,6
Great Britain,10 Jul 2005,Ferrari,6,3
Germany,24 Jul 2005,Ferrari,5,4
Hungary,31 Jul 2005,Ferrari,2,8
Turkey,21 Aug 2005,Ferrari,DNF,0
Italy,04 Sep 2005,Ferrari,10,0
Belgium,11 Sep 2005,Ferrari,DNF,0
Brazil,25 Sep 2005,Ferrari,4,5
Japan,09 Oct 2005,Ferrari,7,2
China,16 Oct 2005,Ferrari,DNF,0
