GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Austria,05 Jul 2020,Renault,8,4
Styria,12 Jul 2020,Renault,DNF,0
Hungary,19 Jul 2020,Renault,14,0
Great Britain,02 Aug 2020,Renault,6,8
70th Anniversary,09 Aug 2020,Renault,8,4
Spain,16 Aug 2020,Renault,13,0
Belgium,30 Aug 2020,Renault,5,10
Italy,06 Sep 2020,Renault,8,4
Tuscany,13 Sep 2020,Renault,DNF,0
Russia,27 Sep 2020,Renault,7,6
Eifel,11 Oct 2020,Renault,DNF,0
Portugal,25 Oct 2020,Renault,8,4
Emilia Romagna,01 Nov 2020,Renault,DNF,0
Turkey,15 Nov 2020,Renault,11,0
Bahrain,29 Nov 2020,Renault,9,2
Sakhir,06 Dec 2020,Renault,2,18
Abu Dhabi,13 Dec 2020,Renault,9,2
