GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Austria,05 Jul 2020,McLaren Renault,3,16
Styria,12 Jul 2020,McLaren Renault,5,10
Hungary,19 Jul 2020,McLaren Renault,13,0
Great Britain,02 Aug 2020,McLaren Renault,5,10
70th Anniversary,09 Aug 2020,McLaren Renault,9,2
Spain,16 Aug 2020,McLaren Renault,10,1
Belgium,30 Aug 2020,McLaren Renault,7,6
Italy,06 Sep 2020,McLaren Renault,4,12
Tuscany,13 Sep 2020,McLaren Renault,6,8
Russia,27 Sep 2020,McLaren Renault,15,0
Eifel,11 Oct 2020,McLaren Renault,DNF,0
Portugal,25 Oct 2020,McLaren Renault,13,0
Emilia Romagna,01 Nov 2020,McLaren Renault,8,4
Turkey,15 Nov 2020,McLaren Renault,8,5
Bahrain,29 Nov 2020,McLaren Renault,4,12
Sakhir,06 Dec 2020,McLaren Renault,10,1
Abu Dhabi,13 Dec 2020,McLaren Renault,5,10
