GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Austria,05 Jul 2020,McLaren Renault,5,10
Styria,12 Jul 2020,McLaren Renault,9,3
Hungary,19 Jul 2020,McLaren Renault,9,2
Great Britain,02 Aug 2020,McLaren Renault,13,0
70th Anniversary,09 Aug 2020,McLaren Renault,13,0
Spain,16 Aug 2020,McLaren Renault,6,8
Belgium,30 Aug 2020,McLaren Renault,DNS,0
Italy,06 Sep 2020,McLaren Renault,2,18
Tuscany,13 Sep 2020,McLaren Renault,DNF,0
Russia,27 Sep 2020,McLaren Renault,DNF,0
Eifel,11 Oct 2020,McLaren Renault,5,10
Portugal,25 Oct 2020,McLaren Renault,6,8
Emilia Romagna,01 Nov 2020,McLaren Renault,7,6
Turkey,15 Nov 2020,McLaren Renault,5,10
Bahrain,29 Nov 2020,McLaren Renault,5,10
Sakhir,06 Dec 2020,McLaren Renault,4,12
Abu Dhabi,13 Dec 2020,McLaren Renault,6,8
