GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Austria,05 Jul 2020,Red Bull Racing Honda,DNF,0
Styria,12 Jul 2020,Red Bull Racing Honda,3,15
Hungary,19 Jul 2020,Red Bull Racing Honda,2,18
Great Britain,02 Aug 2020,Red Bull Racing Honda,2,19
70th Anniversary,09 Aug 2020,Red Bull Racing Honda,1,25
Spain,16 Aug 2020,Red Bull Racing Honda,2,18
Belgium,30 Aug 2020,Red Bull Racing Honda,3,15
Italy,06 Sep 2020,Red Bull Racing Honda,DNF,0
Tuscany,13 Sep 2020,Red Bull Racing Honda,DNF,0
Russia,27 Sep 2020,Red Bull Racing Honda,2,18
Eifel,11 Oct 2020,Red Bull Racing Honda,2,19
Portugal,25 Oct 2020,Red Bull Racing Honda,3,15
Emilia Romagna,01 Nov 2020,Red Bull Racing Honda,DNF,0
Turkey,15 Nov 2020,Red Bull Racing Honda,6,8
Bahrain,29 Nov 2020,Red Bull Racing Honda,2,19
Sakhir,06 Dec 2020,Red Bull Racing Honda,DNF,0
Abu Dhabi,13 Dec 2020,Red Bull Racing Honda,1,25
