GRAND PRIX,DATE,PTS
Brazil,03 Apr 1988,0
San Marino,01 May 1988,0
Monaco,15 May 1988,1
Mexico,29 May 1988,0
Canada,12 Jun 1988,0
Detroit,19 Jun 1988,0
France,03 Jul 1988,0
Great Britain,10 Jul 1988,6
Germany,24 Jul 1988,0
Hungary,07 Aug 1988,1
Belgium,28 Aug 1988,0
Italy,11 Sep 1988,0
Portugal,25 Sep 1988,0
Spain,02 Oct 1988,8
Japan,30 Oct 1988,1
Australia,13 Nov 1988,3
