GRAND PRIX,DATE,PTS
Australia,09 Mar 1997,3
Brazil,30 Mar 1997,7
Argentina,13 Apr 1997,1
San Marino,27 Apr 1997,2
Monaco,11 May 1997,0
Spain,25 May 1997,4
Canada,15 Jun 1997,6
France,29 Jun 1997,2
Great Britain,13 Jul 1997,10
Germany,27 Jul 1997,11
Hungary,10 Aug 1997,0
Belgium,24 Aug 1997,1
Italy,07 Sep 1997,6
Austria,21 Sep 1997,0
Luxembourg,28 Sep 1997,9
Japan,12 Oct 1997,2
Europe,26 Oct 1997,3
