GRAND PRIX,DATE,PTS
Brazil,26 Mar 1989,6
San Marino,23 Apr 1989,15
Monaco,07 May 1989,15
Mexico,28 May 1989,11
United States,04 Jun 1989,9
Canada,18 Jun 1989,0
France,09 Jul 1989,9
Great Britain,16 Jul 1989,9
Germany,30 Jul 1989,15
Hungary,13 Aug 1989,9
Belgium,27 Aug 1989,15
Italy,10 Sep 1989,9
Portugal,24 Sep 1989,6
Spain,01 Oct 1989,13
Japan,22 Oct 1989,0
Australia,05 Nov 1989,0
