GRAND PRIX,DATE,PTS
Brazil,26 Mar 1989,2
San Marino,23 Apr 1989,2
Monaco,07 May 1989,0
Mexico,28 May 1989,0
United States,04 Jun 1989,4
Canada,18 Jun 1989,0
France,09 Jul 1989,0
Great Britain,16 Jul 1989,0
Germany,30 Jul 1989,1
Hungary,13 Aug 1989,2
Belgium,27 Aug 1989,1
Italy,10 Sep 1989,0
Portugal,24 Sep 1989,0
Spain,01 Oct 1989,0
Japan,22 Oct 1989,1
Australia,05 Nov 1989,0
