GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Switzerland,18 May 1952,Frazer Nash,4,3
Belgium,22 Jun 1952,Frazer Nash,DNF,0
Netherlands,17 Aug 1952,Frazer Nash,DNF,0
Italy,07 Sep 1952,Cooper Bristol,9,0
