GRAND PRIX,DRIVER,CAR,TIME
Australia,Michael Schumacher,Ferrari,1:28.214
Malaysia,Mika Hakkinen,McLaren Mercedes,1:40.962
Brazil,Ralf Schumacher,Williams BMW,1:15.693
San Marino,Ralf Schumacher,Williams BMW,1:25.524
Spain,Michael Schumacher,Ferrari,1:21.151
Austria,David Coulthard,McLaren Mercedes,1:10.843
Monaco,David Coulthard,McLaren Mercedes,1:19.424
Canada,Ralf Schumacher,Williams BMW,1:17.205
Europe,Juan Pablo Montoya,Williams BMW,1:18.354
France,David Coulthard,McLaren Mercedes,1:16.088
Great Britain,Mika Hakkinen,McLaren Mercedes,1:23.405
Germany,Juan Pablo Montoya,Williams BMW,1:41.808
Hungary,Mika Hakkinen,McLaren Mercedes,1:16.723
Belgium,Michael Schumacher,Ferrari,1:49.758
Italy,Ralf Schumacher,Williams BMW,1:25.073
United States,Juan Pablo Montoya,Williams BMW,1:14.448
Japan,Ralf Schumacher,Williams BMW,1:36.944
