GRAND PRIX,DRIVER,CAR,TIME
Argentina,Stirling Moss,Maserati,1:44.700
Monaco,Juan Manuel Fangio,Maserati,1:45.600
Indianapolis 500,Jim Rathmann,Epperly Offenhauser,1:02.750
France,Luigi Musso,Ferrari,2:22.400
Great Britain,Stirling Moss,Vanwall,1:59.200
Germany,Juan Manuel Fangio,Maserati,9:17.400
Pescara,Stirling Moss,Vanwall,9:44.600
Italy,Tony Brooks,Vanwall,1:43.700
